"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"relative-ci/bundle-stats","eff8222e9d709f2270ca3a592a542d3fd98d877f","vio","2019-10-30 17:30:30","false","docs(utils): Metric descriptions",20,21,0
"relative-ci/bundle-stats","844b47ea4bd910d0549d8287c8068e5a0220767a","vio","2019-05-25 07:07:09","true","Merge pull request #111 from bundle-stats/renovate/major-lerna-monorepo

chore(deps): update dependency lerna to v3",3,15,0
"relative-ci/bundle-stats","b5675b9b81217042b0071cb87c24cbf4611a9214","vio","2022-11-27 17:46:53","false","fix(ui): Remove unused SubHeader",15,57,1
"relative-ci/bundle-stats","70f59eb6983a9b7be99da9d0f76b3b15c7bd6f36","vio","2023-06-03 15:06:30","false","feat(ui): Icon - add github glyph",12,64,1
"relative-ci/bundle-stats","237533899497bf059f818a8e636361d416686939","vio","2020-04-07 16:02:40","true","Merge pull request #695 from relative-ci/fix-assets

Fix module/asset name",28,26,0
"relative-ci/bundle-stats","bd3361a70cda5c46c70132dc5ccd86fbaf883e3e","vio","2022-01-15 08:45:09","true","Merge pull request #1943 from relative-ci/dependabot/npm_and_yarn/shelljs-0.8.5

build(deps): Bump shelljs from 0.8.4 to 0.8.5",21,47,0
"relative-ci/bundle-stats","fb19a4f6a5844b641cae8292473a38ad61e282b6","vio","2020-03-13 22:25:15","true","Merge pull request #659 from relative-ci/renovate/eslint-config-airbnb-18.x

chore(deps): update dependency eslint-config-airbnb to v18.1.0",27,25,0
"relative-ci/bundle-stats","2916be84b8c42df1e4cb8dbad5b4046ef37778c5","vio","2019-10-25 15:58:51","false","feat(utils): DuplicatePackages - add package names and paths to warnings",12,20,0
"relative-ci/bundle-stats","7b04638d9ba0f8c666f8a6a9ceb83111bfb441ef","vio","2021-02-23 21:08:59","false","feat(ui): BundlePackages - add view all duplicates button",33,36,0
"relative-ci/bundle-stats","2120631079562f0d35780bc9f0a7e4289ef62f59","renovate-bot","2019-07-08 14:07:37","false","chore(deps): update dependency webpack to v4.35.3",7,17,0
