"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"microsoft/azuredatastudio","8d548413bd859de3a262e96fa7d9ed1a95f85cab","kburtram","2018-08-30 05:04:29","true","Fix release month to August in readme",430,10,0,1,"2017-11-02 01:00:14","298.17"
"microsoft/azuredatastudio","92bc253cf73c3cb6d23a872ade59337b5190fae1","AlexFsmn","2018-08-20 19:01:00","false","Fixed problem where vertical charts didn't display labels correctly. (#2263)

#2017",418,9,0,0,"2017-11-02 01:00:14","288.75"
"microsoft/azuredatastudio","6f5e4c30dcf4c41f9437b97f072da1e430c313f6","alanrenmsft","2018-08-22 01:29:21","true","fix edit data issue (#2285)",415,10,0,1,"2017-11-02 01:00:14","290.02"
"microsoft/azuredatastudio","7a30d535e8d210a91791c2236fcdec95fdbc518b","MattIrv","2018-08-23 17:27:48","true","Make it possible to tab to result export buttons (#2302)",416,10,0,0,"2017-11-02 01:00:14","291.69"
"microsoft/azuredatastudio","0c930d7c0f830d632eca6aa137eb3f64d9a0f8a0","AlexFsmn","2018-08-18 00:28:00","false","Added feature for opening file after exporting to CSV/XLS/JSON & query files (#2216)

* Fix #746.
Added prompt for opening saved file location/file after save.
This fix includes saving of JSON/CSV/Excel & saving of a new SQL file.

* Changed var to let.
Moved code from vs dir to sql.
Removed support for showing file location after file save.
(Will be moved to another PR).
#746",413,9,0,0,"2017-11-02 01:00:14","285.98"
"microsoft/azuredatastudio","2304c324532b283fe99f9c12fe7f82564edce0d7","llali","2018-08-13 18:56:32","true","fixed the issue caused by my latest check in in connection service (#2220)",417,9,0,1,"2017-11-02 01:00:14","281.75"
"microsoft/azuredatastudio","e9ef95ef1fa278674e1fc3d2d3f64db9e968ca7e","MattIrv","2018-07-27 21:01:34","true","Save query result selection/scroll when switching tabs (#2052)",415,9,0,0,"2017-11-02 01:00:14","265.83"
"microsoft/azuredatastudio","6783766c33fc767857f3c20d3b5ef2cf375f4cfb","llali","2018-07-24 22:04:21","true","declarative table layout and option (#2007)

* added scroll bar to table content",404,9,0,1,"2017-11-02 01:00:14","262.88"
"microsoft/azuredatastudio","c6d1fa2b7de21f99c87c0951c6651db3a63eae37","kburtram","2018-08-01 23:00:24","true","Revert ""Adds ""Get Connection String"" command (#2108)"" (#2116)

This reverts commit c4df7667ffe6e15abfd7c4e81cf0843452c22a5e.",429,9,0,1,"2017-11-02 01:00:14","269.92"
"microsoft/azuredatastudio","408a8a6f19b9fd12a51c6288fd0718695aee38a8","kburtram","2018-07-14 05:57:09","true","Edit Agent Job dialog updates (#1925)

* Fill in job name and description on edit

* Hook up update job request call

* Clean up table styles",464,8,0,1,"2017-11-02 01:00:14","252.21"
"microsoft/azuredatastudio","e1485e49d37838961bf4fb24bd1ac14699d26bde","kburtram","2018-07-14 05:56:13","true","Pick up 1.5.0-alpha.9",464,8,0,1,"2017-11-02 01:00:14","252.21"
"microsoft/azuredatastudio","4d67eca8bb40d840fff464e399640998a8ecd400","kburtram","2018-07-15 17:51:20","true","Dashboard agent tab style updates (#1934)",465,8,0,1,"2017-11-02 01:00:14","253.7"
"microsoft/azuredatastudio","cd6dd3dafa6dd5c5843608f348f51c8cbe6d4b5d","kburtram","2018-07-16 22:40:41","true","Bump Tools Service to 1.5.0-alpha.10 (#1947)",447,8,0,1,"2017-11-02 01:00:14","254.9"
"microsoft/azuredatastudio","708793cb23fee49d5a60d517100fa3124a58f06f","kburtram","2018-07-17 23:47:31","true","Update tools service to 1.5.0-alpha.11",446,8,0,1,"2017-11-02 01:00:14","255.95"
"microsoft/azuredatastudio","d2b5043972533fe621ac4866ef531781d0fed0b3","MattIrv","2018-07-13 21:23:50","true","Render column titles as text not html in query results (#1923)",464,8,0,0,"2017-11-02 01:00:14","251.85"
"microsoft/azuredatastudio","c23328564fdefae379384fe7580c71fd4e4743ab","MattIrv","2018-07-17 00:09:44","true","Hide correct element when hiding buttons (#1945)",447,8,0,0,"2017-11-02 01:00:14","254.96"
"microsoft/azuredatastudio","30b66934cd3a198bc055317f05616ce96f294938","MattIrv","2018-07-14 01:12:57","true","Enable custom delimiters when saving as CSV (#1928)

* Support custom delimiters for csv

* Run tsfmt",464,8,0,0,"2017-11-02 01:00:14","252.01"
"microsoft/azuredatastudio","fbd5e819a267f8c5000fb97c767a6edce0512625","kburtram","2018-07-09 17:47:50","true","Edit Agent Alert updates (#1872)

* Set database name and severity when editing alert

* Add Operator and Proxy edit

* Add edit job hookup

* Edit WIP

* Additional edit alert updates

* Remove unused method",443,8,0,1,"2017-11-02 01:00:14","247.7"
"microsoft/azuredatastudio","5cf85a0361f3e93c93ab2bb31e93f39cff8a886e","MattIrv","2018-06-27 23:26:26","true","Display page number, title, and description in wizard page headers (#1766)",429,8,0,0,"2017-11-02 01:00:14","235.93"
"microsoft/azuredatastudio","3db61eaa82c09b19e8452cd568376b1d8136dbe8","MattIrv","2018-06-28 17:06:48","true","Add sqlservices wizard sample (#1769)",432,8,0,0,"2017-11-02 01:00:14","236.67"
"microsoft/azuredatastudio","fda050e6678f0653dd35a96bccf841f847b7cac8","krritik","2023-09-18 06:07:00","true","added arialabel for SqlMigration Service Name InputBox (#24286)",89,70,1,0,"2017-11-02 01:00:14","2142.46"
"microsoft/azuredatastudio","6c5fac997f369397cc6264a01601096a97b8027a","MattIrv","2018-06-21 23:55:47","true","Add dialog close validation (#1704)",411,8,0,0,"2017-11-02 01:00:14","229.96"
"microsoft/azuredatastudio","bc09fb30d8d38f408f0ed18a2867c02de6137918","kburtram","2018-06-20 05:27:32","true","Updaet readme for June release (#1684)",404,7,0,1,"2017-11-02 01:00:14","228.19"
"microsoft/azuredatastudio","25228fa58e62c55e6dc3a23cc1bc0ad6f74500ff","MattIrv","2018-06-19 00:27:25","false","Fix edit data limit dropdown position (#1667)",410,7,0,0,"2017-11-02 01:00:14","226.98"
"microsoft/azuredatastudio","83c01c6bcb73fc4082a690cfbf40b2a47375e88b","MattIrv","2018-06-18 19:17:16","false","Fix edit data revert row bugs (#1634)

* Clean up edit data revert behavior

* Unify escape and revert row edit data handling

* Revert unedited new row when clicking off of it

* Make delete work when adding new row",402,7,0,0,"2017-11-02 01:00:14","226.76"
"microsoft/azuredatastudio","676d35090f731225ca610db0db480b7cc576a205","kburtram","2018-06-19 00:18:24","true","Fix Release Notes link to refer to correct location (#1665)

* Fix Release Notes link to refer to correct location

* Fix typo",411,7,0,1,"2017-11-02 01:00:14","226.97"
"microsoft/azuredatastudio","a2a87f8d2bfc6cee6805cbeed2acffd192ce9279","llali","2018-06-18 19:23:54","false","fixed two layout issues in model view components (#1647)",399,7,0,1,"2017-11-02 01:00:14","226.77"
"microsoft/azuredatastudio","eb62d054de49feedbfd3920d114f58b257f4ca33","kburtram","2018-06-09 01:05:16","true","Update package.json",399,7,0,1,"2017-11-02 01:00:14","217"
"microsoft/azuredatastudio","03857e0afd39d7eb7dd849b3353322d7774b1416","MattIrv","2018-06-13 00:38:02","true","Update SQL select box styler (#1619)",398,7,0,0,"2017-11-02 01:00:14","220.98"
"microsoft/azuredatastudio","e1a36a356cd38e1c0f084b763c0abecb45fb8569","kburtram","2018-06-18 23:30:16","true","Add Profiler extension to recommended list (#1662)",410,7,0,1,"2017-11-02 01:00:14","226.94"
"microsoft/azuredatastudio","f5b1bd0bc22b4cc922db6afe8f393a991cf100a0","llali","2018-05-30 20:02:19","true","fixed the issue with tab layout inside the dialog pane (#1515)",387,7,0,1,"2017-11-02 01:00:14","208.79"
"microsoft/azuredatastudio","0bf642d200be70168a52d784774c9c0e99f6f05c","MattIrv","2018-06-07 00:29:50","true","Update sqlservices example for new webview messages API (#1569)",392,7,0,0,"2017-11-02 01:00:14","214.98"
"microsoft/azuredatastudio","02af7e9299c6930b629216215254ca53d22108f8","llali","2018-06-08 20:51:02","true","Feature/model view list (#1551)

* fixed the issue with drop down styling

* added list box to model view library",397,7,0,1,"2017-11-02 01:00:14","216.83"
"microsoft/azuredatastudio","20c4f085c8ab21ff41995b6ffb3d94bc9eeee9ab","MattIrv","2018-06-08 22:32:21","true","Fix custom UI validation bugs (#1583)",400,7,0,0,"2017-11-02 01:00:14","216.9"
"microsoft/azuredatastudio","f2df9f39170f55f8fa8478711123770ca435ec4c","lancemayer","2018-05-31 19:03:33","false","Fix for double clicking column handle in results table where the column width would not update correctly when the longest row item is the top item in the viewPort (#1504)",388,7,0,0,"2017-11-02 01:00:14","209.75"
"microsoft/azuredatastudio","bca41025429fdef88397ffc25dee55c3e1fa99b6","kburtram","2018-05-02 17:18:26","true","Bump SQL Ops to 0.29.2 (#1318)",339,6,0,1,"2017-11-02 01:00:14","180.68"
"microsoft/azuredatastudio","55e3947cf7623b215d9e30a2b7ef8f9cf15ff55c","kburtram","2018-04-30 16:18:02","true","Pick up Electron 1.7.12 (#1291)

* Pick up Electron 1.7.12

* Might as well go to 1.7.13

* Go back to 1.7.12 to match VS Code",337,6,0,1,"2017-11-02 01:00:14","178.64"
"microsoft/azuredatastudio","80a9c82813ab512755743464c15a5b8faf60c533","AbbiePetcht","2018-05-09 19:32:03","true","Fix high contrast issues in task viewlet and panel (#1381)

* fix high contrast issues in task and panel

* change the panelTitle.inactiveForeground color in light theme

* remove opacity when the panel is active and inactive",348,6,0,0,"2017-11-02 01:00:14","187.77"
"microsoft/azuredatastudio","7a9a69c4399cf40ea4a5e51200aaf0973ecc4139","kburtram","2018-04-25 23:07:46","true","Add TRUNCATE to the keyword colorization list (#1270)

* Add TRUNCATE to the keyword colorization list

* Add DISTINCT to keyword list",329,6,0,1,"2017-11-02 01:00:14","173.92"
"microsoft/azuredatastudio","b1752ea6358f9c7695ab09662ed83e7763f1a2cb","kburtram","2018-04-26 17:08:02","true","Show all available extensions in Extension Manager  (#1273)

* Show all available extensions in Extension Manager

* Change name of functions

* Minor cleanup",331,6,0,1,"2017-11-02 01:00:14","174.67"
"microsoft/azuredatastudio","24e8c20511880e00a67b27449f5f8a93bb7bd8dd","MattIrv","2018-04-27 23:29:18","true","Simplify button logic and enable button updates for custom dialogs (#1283)",336,6,0,0,"2017-11-02 01:00:14","175.94"
"microsoft/azuredatastudio","93aa052856e5397766d287f8ec32a3eefcdc980d","MattIrv","2018-04-19 23:24:02","true","Initial work for custom model view dialogs (#1183)",318,6,0,0,"2017-11-02 01:00:14","167.93"
"microsoft/azuredatastudio","b9c877a1097b4abc294795893c2d3bd841507130","kburtram","2018-04-17 21:15:56","true","Add a ""Telemetry Opt-Out"" menu item (#1172)",316,5,0,1,"2017-11-02 01:00:14","165.84"
"microsoft/azuredatastudio","d3f0ac7954d269f931691d95ece5eaa687646d8c","llali","2018-04-18 18:48:20","true","refactor model components to not reference any dashboard services (#1168)

* refactor model components to not reference any dashboard services",318,5,0,1,"2017-11-02 01:00:14","166.74"
"microsoft/azuredatastudio","37d7266751c16a44c4e3cb6d495571cd5d01727d","AbbiePetcht","2018-03-27 20:07:26","true","Update read me for sample extensions (#1003)

* update readme for sample extensions

* Address comments

* Address comments",339,5,0,0,"2017-11-02 01:00:14","145.8"
"microsoft/azuredatastudio","0da83b5d4bd26c52380c2072ce21aa567ba963f3","AbbiePetcht","2018-03-27 20:26:14","true","Update screenshots for extensions' READ ME (#1004)

* update readme for sample extensions

* Address comments

* Address comments

* edit screenshot URLS",339,5,0,0,"2017-11-02 01:00:14","145.81"
"microsoft/azuredatastudio","e9299d199103c1430b420869df8dac71e4ced5da","MattIrv","2018-03-26 23:01:40","false","Tabs should fill entire panel (#995)",339,5,0,0,"2017-11-02 01:00:14","144.92"
"microsoft/azuredatastudio","2eeb2b0d719715069a19dcb82e804771119cd616","kburtram","2018-03-23 20:42:12","true","Fix build break from agent PR (#972)",334,5,0,1,"2017-11-02 01:00:14","141.82"
"microsoft/azuredatastudio","cb1d630cfbba5765f4e9ce4489f78f1e49fae6f6","MattIrv","2018-03-22 23:25:39","true","Connection dialog tabbed panel should use block display (#964)",334,5,0,0,"2017-11-02 01:00:14","140.93"
"microsoft/azuredatastudio","5aedd962763e2b3bebcb8a512aac606bbb1dfc17","kburtram","2018-03-23 23:08:26","true","Bump SQL Ops Studio to 0.27.1 (#975)",333,5,0,1,"2017-11-02 01:00:14","141.92"
"microsoft/azuredatastudio","4d1e3263f4b0491a89e75d4cca0d59340920dea2","kburtram","2018-03-22 23:35:00","true","SQL Agetn sqlops.d.ts changes (#965)",333,5,0,1,"2017-11-02 01:00:14","140.94"
"microsoft/azuredatastudio","c116f933e24cbda663387cae3d29a95cbeabeee7","MattIrv","2018-03-21 00:34:31","false","Resize grids and detect changes when toggling panel visibility (#944)",337,5,0,0,"2017-11-02 01:00:14","138.98"
"microsoft/azuredatastudio","38bedea0bddadd29fc94a8aaeece9e5c92e0afe3","MattIrv","2018-03-16 20:37:24","true","Add findNodes Object Explorer API (#916)",331,4,0,0,"2017-11-02 01:00:14","134.82"
"microsoft/azuredatastudio","c06ab27d085bff69cb305467da1735fbdbb93190","MattIrv","2018-03-09 23:02:20","true","Object Explorer API (#783)

See https://github.com/Microsoft/sqlopsstudio/wiki/Extensibility-API#object-explorer for usage details",334,4,0,0,"2017-11-02 01:00:14","127.92"
"microsoft/azuredatastudio","c276bd8a37cee640b4a635ce17eed5a4f1f79989","kburtram","2018-03-15 20:27:11","true","Add localization 'Help Wanted' section to readme (#915)",327,4,0,1,"2017-11-02 01:00:14","133.81"
"microsoft/azuredatastudio","f3c7b2416b25d9f0c9348cdd29123979f4261dcc","AbbiePetcht","2018-03-13 20:48:17","true","Support icons in panel  (#895)

* support icons in panel

* formatting

* address Smitha comments

* address comments",330,4,0,0,"2017-11-02 01:00:14","131.83"
"microsoft/azuredatastudio","fe496ab03b08712ea9d12a2022bec330f7e834fb","AbbiePetcht","2018-03-20 03:38:04","true","fix the UI for nav bar (#937)",336,5,0,0,"2017-11-02 01:00:14","138.11"
"microsoft/azuredatastudio","2e67d03b567f930525dd2c3d8b0cf24b359dfd6c","llali","2018-03-05 17:07:41","true","fixed the grid layout sizing issue (#824)",337,4,0,1,"2017-11-02 01:00:14","123.67"
"microsoft/azuredatastudio","1d284ea66ac76eeb3590ea4ec8b520bdb6cd5a13","llali","2018-03-06 23:33:47","true","fixed the grid layout schema and fixed layout bugs (#847)

* fixed the grid layout schema and fixed layout bugs",339,4,0,1,"2017-11-02 01:00:14","124.94"
"microsoft/azuredatastudio","94e8ce5185116d2b324c178d67881488dea0dd30","corivera","2018-03-02 22:32:19","true","Update version field in sql syntax file. (#828)",332,4,0,1,"2017-11-02 01:00:14","120.9"
"microsoft/azuredatastudio","5adab4fafba1254e29851d3153058b4e1e72a843","AbbiePetcht","2018-02-26 21:47:27","true","remove widgetContent (#784)",310,4,0,0,"2017-11-02 01:00:14","114.87"
"microsoft/azuredatastudio","8a9ee4052422d18552342bcef96e274a760363c0","kburtram","2018-02-16 22:40:25","true","Update changelog for Jan Hotfix release (#722)",272,3,0,1,"2017-11-02 01:00:14","104.9"
"microsoft/azuredatastudio","51b8e02455d443662917b80fcf19bb6cfc135304","AbbiePetcht","2018-02-22 00:23:24","true","Support left nav bar and inner tabs (#751)

* Add left nav bar and inner tab contribution

* place holder for dashboard left nav bar

* formatting

* refactor widget helper

* improving the panel look and feel

* removed extra files that added by accident",292,4,0,0,"2017-11-02 01:00:14","109.97"
"microsoft/azuredatastudio","362664c4d8b5d4dd19b0f495f2121e4e55e79978","MattIrv","2018-02-08 00:31:13","true","Redo changes for object explorer arrow colors (#633)",253,3,0,0,"2017-11-02 01:00:14","95.98"
"microsoft/azuredatastudio","8a350809fd7ce76df2a69ef1842ae80317b66bd0","kburtram","2018-01-31 23:03:57","true","Fix install-sqltoolsservice build task (#593)",249,3,0,1,"2017-11-02 01:00:14","89.92"
"microsoft/azuredatastudio","98fa028ce55ae17c5f0c5c5b4754268b53ec67dc","kburtram","2018-02-10 05:52:39","true","Bump tools service to 1.4.0-alpha-9 (#658)",258,3,0,1,"2017-11-02 01:00:14","98.2"
"microsoft/azuredatastudio","3b7ff61000167f810a2aee676288ebf01f07d52c","kburtram","2018-02-09 23:26:31","true","Reapply publish script changes lost in VS Code 1.19 merge (#653)

* Reapply publish script changes lost in VS Code 1.19 merge

* Pick up changes from commit 0c14c3cc7fc8b57ec2e56f75fc0284071e0dff98

* Add another // {{SQL CARBON EDIT}}",260,3,0,1,"2017-11-02 01:00:14","97.93"
